year,ls_number,name,party,gender,portfolio,rank,appointment_begin,appointment_end,house,constituency,pid,State,start_source,end_source,comments,type_begin,type_end
2009,15,ANAND SHARMA,INC,M,Textiles,CM,03/04/14,26/05/14,Rajya Sabha,NA,NA ,Himachal_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_834.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1444.pdf,,mid_term,end_of_term
1999,13,ANANDRAO VITHOBA ADSUL,SHS,M,Finance and Company Affairs,MoS,26/08/02,22/05/04,Lok Sabha,BULDHANA,13_Maharashtra_18_0_1,Maharashtra,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1707.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1469.pdf,,mid_term,end_of_term
1999,13,ANANT GANGARAM GEETE,SHS,M,Finance,MoS,01/07/02,26/08/02,Lok Sabha,RATNAGIRI,13_Maharashtra_2_0_1,Maharashtra,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1704.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1707.pdf,,mid_term,mid_term
1999,13,ANANT GANGARAM GEETE,SHS,M,Power,CM,26/08/02,22/05/04,Lok Sabha,RATNAGIRI,13_Maharashtra_2_0_1,Maharashtra,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1707.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1469.pdf,,mid_term,end_of_term
1998,12,ANANTH KUMAR,BJP,M,Civil Aviation,CM,19/03/98,13/10/99,Lok Sabha,BANGALORE SOUTH,12_Karnataka_13_0_1,Karnataka,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1639.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1750.pdf,,start_of_term,end_of_term
1998,12,ANANTH KUMAR,BJP,M,Tourism,CM,30/01/99,13/10/99,Lok Sabha,BANGALORE SOUTH,12_Karnataka_13_0_1,Karnataka,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1647.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1750.pdf,,mid_term,end_of_term
1999,13,ANANTH KUMAR,BJP,M,"Culture, Youth Affairs and Sports",CM,13/10/99,02/02/00,Lok Sabha,BANGALORE SOUTH,13_Karnataka_13_0_1,Karnataka,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1751.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1659.pdf,,start_of_term,mid_term
1999,13,ANANTH KUMAR,BJP,M,Culture,CM,02/02/00,01/09/01,Lok Sabha,BANGALORE SOUTH,13_Karnataka_13_0_1,Karnataka,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1659.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1690.pdf,,mid_term,mid_term
1999,13,ANANTH KUMAR,BJP,M,Tourism,CM,02/02/00,01/09/01,Lok Sabha,BANGALORE SOUTH,13_Karnataka_13_0_1,Karnataka,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1659.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1690.pdf,,mid_term,mid_term
1999,13,ANANTH KUMAR,BJP,M,Urban Development and Poverty Alleviation,CM,01/09/01,12/07/03,Lok Sabha,BANGALORE SOUTH,13_Karnataka_13_0_1,Karnataka,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1690.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1721.pdf,,mid_term,mid_term
1999,13,ANANTH KUMAR,BJP,M,Rural Development,CM,07/04/03,24/05/03,Lok Sabha,BANGALORE SOUTH,13_Karnataka_13_0_1,Karnataka,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1715.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1719.pdf,,mid_term,mid_term
2014,16,SUDARSHAN BHAGAT,BJP,M,Agriculture and Farmers Welfare,MoS,05/07/16,03/09/17,Lok Sabha,LOHARDAGA,16_Jharkhand_12_0_1,Jharkhand,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_6.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1269.pdf,,mid_term,mid_term
2014,16,DR. JITENDRA SINGH,BJP,M,Atomic Energy,MoS,27/05/14,30/05/19,Lok Sabha,UDHAMPUR,16_Jammu_&_Kashmir_5_0_1,Jammu_&_Kashmir,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1782.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1856.pdf,,start_of_term,end_of_term
2014,16,ANANTH KUMAR,BJP,M,Chemicals and Fertilizers,CM,27/05/14,12/11/18,Lok Sabha,BANGALORE SOUTH,16_Karnataka_26_0_1,Karnataka,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1782.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1732.pdf,,start_of_term,mid_term
2004,14,ANBUMANI RAMDOSS,PMK,M,Health and Family Welfare,CM,22/05/04,22/04/09,Rajya Sabha,NA,NA ,Tamil_Nadu,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1472.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1443.pdf,,start_of_term,mid_term
2014,16,D.V. SADANANDA GOWDA,BJP,M,Chemicals and Fertilizers,CM,13/11/18,30/05/19,Lok Sabha,BANGALORE NORTH,16_Karnataka_24_0_1,Karnataka,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1732.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1856.pdf,,mid_term,end_of_term
1999,13,ANNASAHEB M. K. PATIL,BJP,M,Rural Development,MoS,01/09/01,22/05/04,Lok Sabha,ERANDOL,13_Maharashtra_16_0_1,Maharashtra,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1690.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1469.pdf,,mid_term,end_of_term
2014,16,HANSRAJ GANGARAM AHIR,BJP,M,Chemicals and Fertilizers,MoS,09/11/14,05/07/16,Lok Sabha,CHANDRAPUR,16_Maharashtra_13_0_1,Maharashtra,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_10.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_6.pdf,,mid_term,mid_term
2014,16,MANSUKH L. MANDAVIYA,BJP,M,Chemicals and Fertilizers,MoS,05/07/16,30/05/19,Rajya Sabha,NA,NA ,Gujarat,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_6.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1856.pdf,,mid_term,end_of_term
2014,16,NIHAL CHAND CHAUHAN MEGHWAL,BJP,M,Chemicals and Fertilizers,MoS,27/05/14,09/11/14,Lok Sabha,GANGANAGAR,16_Rajasthan_1_0_1,Rajasthan,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1782.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_10.pdf,,start_of_term,mid_term
2014,16,RAO INDERJIT SINGH,BJP,M,Chemicals and Fertilizers,MoS,03/09/17,30/05/19,Lok Sabha,GURGAON,16_Haryana_9_0_1,Haryana,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1269.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1856.pdf,,mid_term,end_of_term
2014,16,ASHOK GAJAPATHI RAJU PUSAPATI,TDP,M,Civil Aviation,CM,27/05/14,09/03/18,Lok Sabha,VIZIANAGARAM,16_Andhra_Pradesh_3_0_1,Andhra_Pradesh,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1782.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1388.pdf,,start_of_term,mid_term
1999,13,ARJUN SETHI,BJD,M,Water Resources,CM,27/05/00,22/05/04,Lok Sabha,BHADRAK,13_Odisha_3_0_1,Odisha,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1666.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1469.pdf,,mid_term,end_of_term
1991,10,ARJUN SINGH,INC,M,Human Resource Development,CM,21/06/91,24/12/94,Lok Sabha,SATNA,10_Madhya_Pradesh_8_0_1,Madhya_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1541.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1537.pdf,,start_of_term,mid_term
2004,14,ARJUN SINGH,BJP,M,Human Resource Development,CM,22/05/04,22/05/09,Lok Sabha,BARRACKPORE,17_West_Bengal_15_0_1,West_Bengal,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1472.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1454.pdf,,start_of_term,end_of_term
1999,13,ARUN JAITLEY,BJP,M,Information and Broadcasting,MoS(IC),13/10/99,30/09/00,Rajya Sabha,NA,NA ,Gujarat,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1751.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1673.pdf,,start_of_term,mid_term
1999,13,ARUN JAITLEY,BJP,M,Disinvestment,MoS(IC),10/12/99,24/07/00,Rajya Sabha,NA,NA ,Gujarat,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1755.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1668.pdf,,mid_term,mid_term
1999,13,ARUN JAITLEY,BJP,M,"Law, Justice, and Company Affairs",MoS(IC),24/07/00,07/11/00,Rajya Sabha,NA,NA ,Gujarat,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1668.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1677.pdf,,mid_term,mid_term
